,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
11384,"Alastra, Ignacio",DEL,Talleres,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11385,"Angulo, Luis Miguel",DEL,Talleres,$ 1.700.000,5,23,"4,60",7,34,"4,86",0,0,0,0,0,0,0,,0,0,,2,0,0,,11,
11386,"Bustos, Nahuel",DEL,Talleres,$ 3.700.000,5,36,"7,20",6,41,"6,83",1,1,0,0,0,0,1,,0,0,,1,0,0,,11,5
11387,"Chiavassa, Emiliano",DEL,Talleres,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11388,"Dávila, Valentín",DEL,Talleres,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11389,"Depietri, Valentín",DEL,Talleres,$ 900.000,10,60,"6,00",12,83,"6,92",2,1,1,0,0,2,0,,0,2,,4,0,0,,11,6
11390,"Girotti, Federico",DEL,Talleres,$ 5.000.000,11,56,"5,09",14,68,"4,86",1,1,0,0,0,1,0,,0,0,,3,0,0,,11,4
11391,"Lima Morais, Rick",DEL,Talleres,$ 3.500.000,10,52,"5,20",12,62,"5,17",0,0,0,0,0,0,0,,0,0,,1,0,0,,11,6
11392,Estadísticas totales de Talleres:,,,$ 65.100.000,155,888,"5,73",194,1109,"5,72",9,8,1,0,0,6,2,12,1,7,44,41,4,0,0,11,69
11393,"Fuster, Luka",ARQ,Tigre,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11394,"Sultani, Tomás",ARQ,Tigre,$ 500.000,,,,,,,,,,,,,,,,,,,,,,11,
11395,"Zenobio, Felipe",ARQ,Tigre,$ 3.300.000,12,73,"6,08",15,97,"6,47",0,0,0,0,0,0,0,11,0,1,6,0,0,0,0,11,4
11396,"Álvarez, Federico",DEF,Tigre,$ 900.000,8,47,"5,88",8,47,"5,88",0,0,0,0,0,0,0,,0,0,4,1,0,0,,11,
11397,"Arias, Ramón",DEF,Tigre,$ 2.000.000,4,15,"3,75",6,22,"3,67",0,0,0,0,0,0,0,,0,0,5,3,1,0,,11,
11398,"Banegas, Nahuel",DEF,Tigre,$ 1.200.000,,,,,,,,,,,,,,,,,,,,,,11,
11399,"Barrionuevo, Alan",DEF,Tigre,$ 1.500.000,7,41,"5,86",7,41,"5,86",0,0,0,0,0,0,0,,0,0,6,0,0,0,,11,5
11400,"Cardona, Tomás",DEF,Tigre,$ 2.300.000,5,29,"5,80",6,35,"5,83",0,0,0,0,0,0,0,,0,0,3,2,0,0,,11,
11401,"Garay, Martín",DEF,Tigre,$ 2.000.000,,,,,,,,,,,,,,,,,,,,,,11,
11402,"Laso, Joaquín",DEF,Tigre,$ 2.800.000,11,68,"6,18",14,86,"6,14",0,0,0,0,0,0,0,,0,1,6,4,1,0,,11,0
11403,"Marchese, Ángelo",DEF,Tigre,$ 800.000,,,,,,,,,,,,,,,,,,,,,,11,
11404,"Minniti, Luciano",DEF,Tigre,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11405,"Moreno, Valentín",DEF,Tigre,$ 500.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,2,0,0,0,,11,
11406,"Ortega, Martín",DEF,Tigre,$ 2.200.000,,,,3,17,"5,67",0,0,0,0,0,0,0,,0,0,1,0,0,0,,11,
11407,"Sosa, Diego",DEF,Tigre,$ 1.000.000,6,35,"5,83",9,52,"5,78",1,0,0,0,1,1,0,,0,0,3,1,0,1,,11,5
11408,"Soto, Guillermo",DEF,Tigre,$ 1.800.000,12,67,"5,58",13,73,"5,62",0,0,0,0,0,0,0,,0,0,6,4,0,0,,11,6
11409,"Cabrera, Elías",VOL,Tigre,$ 1.100.000,9,65,"7,22",12,79,"6,58",2,2,0,0,0,1,0,,0,2,,3,1,0,,11,6
11410,"Elías, Jalil",VOL,Tigre,$ 2.300.000,5,26,"5,20",5,26,"5,20",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,5
11411,"González, Santiago",VOL,Tigre,$ 2.800.000,4,19,"4,75",7,35,"5,00",0,0,0,0,0,0,0,,0,0,,3,0,0,,11,
11412,"Leyes, Bruno",VOL,Tigre,$ 1.500.000,6,25,"4,17",9,39,"4,33",0,0,0,0,0,0,0,,0,0,,4,0,0,,11,
11413,"López, Julián",VOL,Tigre,$ 1.500.000,8,43,"5,38",9,48,"5,33",1,0,1,0,0,0,0,,0,0,,5,0,0,,11,10
11414,"Medina, Sebastián",VOL,Tigre,$ 1.000.000,4,29,"7,25",7,45,"6,43",1,1,0,0,0,0,0,,0,1,,1,0,0,,11,
11415,"Piñeiro, Gonzalo",VOL,Tigre,$ 800.000,4,20,"5,00",5,25,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11416,"Rivero, Simón",VOL,Tigre,$ 900.000,4,21,"5,25",5,27,"5,40",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11417,"Saralegui, Jabes",VOL,Tigre,$ 2.100.000,8,42,"5,25",11,70,"6,36",1,1,0,0,0,0,0,,0,1,,1,0,0,,11,6
11418,"Vasconcelo, Milton",VOL,Tigre,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11419,"Armoa, Blas",DEL,Tigre,$ 1.700.000,,,,2,10,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11420,"Fernández, Manuel",DEL,Tigre,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11421,"Fértoli, Héctor",DEL,Tigre,$ 3.000.000,2,10,"5,00",3,15,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11422,"Martínez, Braian",DEL,Tigre,$ 1.000.000,5,27,"5,40",7,39,"5,57",2,0,0,0,2,1,0,,0,0,,2,0,0,,11,
11423,"Oviedo, Alfio",DEL,Tigre,$ 1.000.000,7,33,"4,71",7,33,"4,71",0,0,0,0,0,0,0,,0,0,,1,0,0,,11,
11424,"Romero, David",DEL,Tigre,$ 1.500.000,8,51,"6,38",8,51,"6,38",1,1,0,0,0,0,0,,0,1,,1,0,0,,11,5
11425,"Russo, Ignacio",DEL,Tigre,$ 1.800.000,12,89,"7,42",15,113,"7,53",5,4,1,0,0,2,2,,0,0,,3,0,0,,11,4
11426,Estadísticas totales de Tigre:,,,$ 48.000.000,153,887,"5,80",195,1137,"5,83",14,9,2,0,3,5,2,11,0,7,42,39,3,1,0,11,56
11427,"Chávez, Agustín",ARQ,Unión,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11428,"Durso, Tomás",ARQ,Unión,$ 1.300.000,,,,,,,,,,,,,,,,,,,,,,11,
11429,"Gomes Gerth, Federico",ARQ,Unión,$ 1.300.000,,,,,,,,,,,,,,,,,,,,,,11,
11430,"Meuli, Lucas",ARQ,Unión,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11431,"Tagliamonte, Matías",ARQ,Unión,$ 1.100.000,12,84,"7,00",15,102,"6,80",0,0,0,0,0,0,0,13,0,2,7,3,0,0,1,11,3
11432,"Álvarez, Emiliano",DEF,Unión,$ 500.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,4,0,0,0,,11,
11433,"Corvalán, Claudio",DEF,Unión,$ 2.800.000,,,,,,,0,0,0,0,0,0,0,,0,0,2,0,0,0,,11,
11434,"Díaz, Fernando",DEF,Unión,$ 500.000,,,,,,,,,,,,,,,,,,,,,,11,
11435,"Fascendini, Valentín",DEF,Unión,$ 1.300.000,12,71,"5,92",15,93,"6,20",0,0,0,0,0,0,0,,0,0,7,3,0,0,,11,5
11436,"Gerometta, Francisco",DEF,Unión,$ 2.000.000,,,,,,,,,,,,,,,,,,,,,,11,
11437,"Ludueña, Juan Pablo",DEF,Unión,$ 300.000,3,17,"5,67",4,25,"6,25",0,0,0,0,0,0,0,,0,0,2,1,0,0,,11,
11438,"Paz, Nicolás",DEF,Unión,$ 1.000.000,1,7,"7,00",2,12,"6,00",0,0,0,0,0,0,0,,0,0,3,0,0,0,,11,
11439,"Pittón, Bruno",DEF,Unión,$ 3.100.000,,,,,,,,,,,,,,,,,,,,,,11,
11440,"Rodríguez, Maizon",DEF,Unión,$ 700.000,10,60,"6,00",10,60,"6,00",0,0,0,0,0,0,0,,0,0,5,2,0,0,,11,3
11441,"Vargas, Lautaro",DEF,Unión,$ 700.000,12,65,"5,42",15,84,"5,60",0,0,0,0,0,0,0,,0,0,7,5,0,0,,11,5
11442,"Cañete, Ezequiel",VOL,Unión,$ 2.800.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11443,"Del Blanco, Mateo",VOL,Unión,$ 1.500.000,12,80,"6,67",15,97,"6,47",1,1,0,0,0,1,0,,0,1,,1,0,0,,11,6
11444,"Grella, Santiago",VOL,Unión,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11445,"Martínez, Mauricio",VOL,Unión,$ 2.500.000,12,79,"6,58",15,108,"7,20",3,3,0,0,0,2,0,,0,1,,3,0,0,,11,5
11446,"Palacios, Julián",VOL,Unión,$ 1.800.000,11,58,"5,27",14,72,"5,14",0,0,0,0,0,0,0,,0,0,,2,0,0,,11,4
11447,"Palavecino, Nicolás",VOL,Unión,$ 600.000,7,31,"4,43",7,31,"4,43",0,0,0,0,0,0,0,,0,0,,2,0,0,,11,5
11448,"Pittón, Mauro",VOL,Unión,$ 2.800.000,12,93,"7,75",15,109,"7,27",2,2,0,0,0,2,0,,1,2,,2,0,0,,11,5
11449,"Profini, Rafael",VOL,Unión,$ 500.000,2,10,"5,00",2,10,"5,00",0,0,0,0,0,0,0,,0,0,,2,0,0,,11,
11450,"Solari, Augusto",VOL,Unión,$ 3.100.000,9,52,"5,78",9,52,"5,78",1,1,0,0,0,1,0,,0,0,,1,0,0,,11,5
11451,"Verde, Lionel",VOL,Unión,$ 800.000,,,,1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11452,"Colazo, Agustín",DEL,Unión,$ 800.000,5,42,"8,40",5,42,"8,40",3,2,1,0,0,2,0,,0,1,,1,0,0,,11,
11453,"Díaz, Diego Armando",DEL,Unión,$ 900.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11454,"Dómina, Jerónimo",DEL,Unión,$ 2.900.000,,,,,,,,,,,,,,,,,,,,,,11,
11455,"Estigarribia, Marcelo",DEL,Unión,$ 2.500.000,11,77,"7,00",13,88,"6,77",4,1,3,0,0,2,0,,0,0,,1,0,0,,11,
11456,"Fragapane, Franco",DEL,Unión,$ 3.000.000,10,52,"5,20",13,62,"4,77",0,0,0,0,0,0,0,,0,0,,1,1,0,,11,4
11457,"Gamba, Lucas",DEL,Unión,$ 4.700.000,6,28,"4,67",9,44,"4,89",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,5
11458,"Tarragona, Cristian",DEL,Unión,$ 4.000.000,12,82,"6,83",15,104,"6,93",4,3,0,0,1,3,0,,0,1,,2,0,0,,11,4
11459,Estadísticas totales de Unión:,,,$ 52.700.000,161,1000,"6,21",196,1212,"6,18",18,13,4,0,1,13,0,13,1,8,37,32,1,0,1,11,59
11460,"Garzón, Lautaro",ARQ,Vélez,$ 600.000,,,,,,,,,,,,,,,,,,,,,,11,
11461,"Marchiori, Tomás",ARQ,Vélez,$ 5.000.000,11,64,"5,82",14,84,"6,00",0,0,0,0,0,0,0,11,0,0,6,1,0,0,0,11,2
11462,"Montero, Álvaro",ARQ,Vélez,$ 2.500.000,2,14,"7,00",2,14,"7,00",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,
11463,"Andrada, Isaías",DEF,Vélez,$ 300.000,1,6,"6,00",1,6,"6,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,11,
11464,"Cavanagh, Tomás",DEF,Vélez,$ 1.000.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,1,1,0,0,,11,
11465,"Domínguez, Demian",DEF,Vélez,$ 300.000,,,,,,,,,,,,,,,,,,,,,,11,
11466,"García, Joaquín",DEF,Vélez,$ 3.000.000,,,,,,,,,,,,,,,,,,,,,,11,
11467,"Gómez, Elías",DEF,Vélez,$ 3.300.000,11,56,"5,09",14,74,"5,29",0,0,0,0,0,0,0,,0,0,6,5,0,0,,11,2
11468,"Gordon, Jano",DEF,Vélez,$ 300.000,6,37,"6,17",9,56,"6,22",0,0,0,0,0,0,0,,0,0,6,2,0,0,,11,
11469,"Lagos, Agustín",DEF,Vélez,$ 300.000,5,16,"3,20",6,23,"3,83",0,0,0,0,0,0,0,,0,0,3,3,1,0,,11,3
11470,"Magallán, Lisandro",DEF,Vélez,$ 3.900.000,9,54,"6,00",12,73,"6,08",1,0,1,0,0,1,0,,0,0,5,3,0,0,,11,15
11471,"Mammana, Emanuel",DEF,Vélez,$ 3.900.000,6,44,"7,33",9,65,"7,22",0,0,0,0,0,0,0,,0,1,5,0,0,0,,11,
11472,"Quirós, Aarón",DEF,Vélez,$ 3.000.000,9,42,"4,67",9,42,"4,67",0,0,0,0,0,0,0,,0,0,3,3,1,0,,11,5
11473,"Silvero, Thiago",DEF,Vélez,$ 300.000,3,17,"5,67",3,17,"5,67",0,0,0,0,0,0,0,,0,0,2,0,0,0,,11,
11474,"Aliendro, Rodrigo",VOL,Vélez,$ 4.000.000,10,59,"5,90",10,59,"5,90",0,0,0,0,0,0,0,,0,2,,0,1,0,,11,5
11475,"Andrada, Tobías",VOL,Vélez,$ 300.000,5,25,"5,00",8,41,"5,13",0,0,0,0,0,0,0,,0,0,,1,0,0,,11,
11476,"Arias, Matías",VOL,Vélez,$ 300.000,1,5,"5,00",2,8,"4,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,11,
11477,"Baeza, Claudio",VOL,Vélez,$ 1.100.000,9,38,"4,22",12,53,"4,42",0,0,0,0,0,0,0,,0,0,,6,0,0,,11,2
11478,"Fernández, Thiago",VOL,Vélez,$ 4.800.000,,,,,,,,,,,,,,,,,,,,,,11,
11479,"Galván, Tomás",VOL,Vélez,$ 2.500.000,6,42,"7,00",9,64,"7,11",2,2,0,0,0,0,0,,0,0,,1,0,0,,11,4
11480,"Lanzini, Manuel",VOL,Vélez,$ 5.000.000,6,69,"11,50",6,69,"11,50",3,1,1,1,0,2,0,,0,2,,0,0,0,,11,4
11481,"Roldán, Leonel",VOL,Vélez,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11482,"Valdés, Diego",VOL,Vélez,$ 2.300.000,6,32,"5,33",6,32,"5,33",1,1,0,0,0,0,0,,0,0,,0,0,0,,11,4
11483,"Vázquez, Kevin",VOL,Vélez,$ 1.500.000,,,,,,,,,,,,,,,,,,,,,,11,
11484,"Bouzat, Agustín",DEL,Vélez,$ 4.000.000,8,34,"4,25",11,49,"4,45",0,0,0,0,0,0,0,,0,0,,6,0,0,,11,
11485,"Carrizo, Maher",DEL,Vélez,$ 1.000.000,6,42,"7,00",9,57,"6,33",2,1,0,1,0,1,0,,0,0,,2,0,0,,11,
11486,"Godoy, Dilan",DEL,Vélez,$ 300.000,6,42,"7,00",6,42,"7,00",2,1,0,0,1,1,0,,0,0,,1,0,0,,11,
11487,"Machuca, Imanol",DEL,Vélez,$ 3.200.000,4,20,"5,00",7,44,"6,29",1,1,0,0,0,0,0,,0,1,,1,0,0,,11,
11488,"Monzón, Florián",DEL,Vélez,$ 2.700.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11489,"Pellegrini, Matías",DEL,Vélez,$ 2.000.000,7,35,"5,00",7,35,"5,00",0,0,0,0,0,0,0,,0,1,,1,1,0,,11,0
11490,"Pizzini, Francisco",DEL,Vélez,$ 4.000.000,8,46,"5,75",10,55,"5,50",1,1,0,0,0,1,0,,0,0,,1,0,0,,11,4
11491,"Romero, Braian",DEL,Vélez,$ 5.500.000,8,63,"7,88",11,76,"6,91",4,3,0,0,1,0,1,,0,1,,4,0,0,,11,4
11492,"Santos, Michael",DEL,Vélez,$ 4.000.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11493,"Verón, Alex",DEL,Vélez,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,11,
11494,Estadísticas totales de Vélez:,,,$ 76.800.000,155,912,"5,88",195,1148,"5,89",17,11,2,2,2,6,1,12,0,8,38,43,4,0,0,11,54
11495,"Carranza, Jorge",ARQ,Aldosivi,$ 2.000.000,12,64,"5,33",15,84,"5,60",0,0,0,0,0,0,0,16,0,0,6,1,0,0,0,12,9
11496,"González Carrizo, Nahuel",ARQ,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,12,
11497,"Moyano, Sebastián",ARQ,Aldosivi,$ 1.500.000,,,,,,,,,,,,,,,,,,,,,,12,
11498,"Breitenbruch, Néstor",DEF,Aldosivi,$ 1.500.000,,,,,,,,,,,,,,,,,,,,,,12,
11499,"Cabral, Jonathan",DEF,Aldosivi,$ 2.300.000,10,47,"4,70",11,54,"4,91",0,0,0,0,0,0,0,,0,0,6,5,1,0,,12,8
11500,"Cerato, Giuliano",DEF,Aldosivi,$ 1.200.000,11,78,"7,09",14,94,"6,71",2,2,0,0,0,1,0,,1,1,6,7,0,0,,12,17
11501,"García, Martín",DEF,Aldosivi,$ 300.000,4,19,"4,75",5,26,"5,20",0,0,0,0,0,0,0,,0,0,4,1,0,0,,12,6
11502,"González, Ariel",DEF,Aldosivi,$ 400.000,,,,,,,,,,,,,,,,,,,,,,12,
11503,"González, Rodrigo",DEF,Aldosivi,$ 800.000,6,32,"5,33",9,52,"5,78",0,0,0,0,0,0,0,,0,0,5,1,1,0,,12,
11504,"Kummer, Tomás",DEF,Aldosivi,$ 400.000,2,8,"4,00",4,21,"5,25",0,0,0,0,0,0,0,,0,0,1,0,0,0,,12,
11505,"Laquidain, Santiago",DEF,Aldosivi,$ 600.000,2,10,"5,00",2,10,"5,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,12,
11506,"Mottes, Gonzalo",DEF,Aldosivi,$ 1.100.000,4,17,"4,25",7,35,"5,00",0,0,0,0,0,0,0,,0,0,6,3,0,0,,12,
11507,"Moya, Santiago",DEF,Aldosivi,$ 800.000,6,36,"6,00",6,36,"6,00",0,0,0,0,0,0,0,,0,0,3,2,0,0,,12,8
11508,"Paredes, Gabriel",DEF,Aldosivi,$ 500.000,,,,,,,,,,,,,,,,,,,,,,12,
11509,"Román, Fernando",DEF,Aldosivi,$ 800.000,7,38,"5,43",7,38,"5,43",0,0,0,0,0,0,0,,0,0,3,2,0,0,,12,8
11510,"Bochi, Roberto",VOL,Aldosivi,$ 1.700.000,11,49,"4,45",14,59,"4,21",0,0,0,0,0,0,0,,0,0,,7,0,0,,12,3
11511,"Chávez, Lautaro",VOL,Aldosivi,$ 700.000,1,4,"4,00",2,9,"4,50",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11512,"Esponda, Marcelo",VOL,Aldosivi,$ 800.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11513,"Falasco, Lucio",VOL,Aldosivi,$ 400.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11514,"García, Matías",VOL,Aldosivi,$ 1.700.000,4,20,"5,00",5,25,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11515,"Gino, Federico",VOL,Aldosivi,$ 1.000.000,9,50,"5,56",12,66,"5,50",1,0,0,0,1,1,1,,0,1,,7,0,0,,12,
11516,"Guerrico, Ignacio",VOL,Aldosivi,$ 600.000,6,26,"4,33",9,42,"4,67",0,0,0,0,0,0,0,,0,0,,2,0,0,,12,
11517,"Leiva, Tobías",VOL,Aldosivi,$ 1.000.000,1,2,"2,00",1,2,"2,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,12,
11518,"Ludueña, Lautaro",VOL,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,12,
11519,"Serrago, Tiago",VOL,Aldosivi,$ 800.000,12,75,"6,25",15,100,"6,67",1,1,0,0,0,1,0,,0,3,,3,0,0,,12,11
11520,"Cervera, Tobías",DEL,Aldosivi,$ 1.000.000,8,42,"5,25",9,47,"5,22",1,1,0,0,0,0,0,,0,0,,2,0,0,,12,
11521,"De La Vega, Facundo",DEL,Aldosivi,$ 400.000,6,26,"4,33",7,30,"4,29",0,0,0,0,0,0,0,,0,0,,2,0,0,,12,4
11522,"Giani, Justo",DEL,Aldosivi,$ 1.400.000,11,78,"7,09",14,93,"6,64",2,1,1,0,0,1,0,,0,2,,4,0,0,,12,5
11523,"Guzmán, Natanael",DEL,Aldosivi,$ 700.000,6,31,"5,17",6,31,"5,17",1,1,0,0,0,0,0,,0,0,,1,0,0,,12,8
11524,"Juárez, David",DEL,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,12,
11525,"Palavecino, Agustín",DEL,Aldosivi,$ 700.000,5,29,"5,80",7,40,"5,71",1,0,1,0,0,0,0,,0,0,,1,0,0,,12,
11526,"Preciado, Ayrton",DEL,Aldosivi,$ 3.000.000,5,24,"4,80",7,34,"4,86",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11527,"Rami, Franco",DEL,Aldosivi,$ 400.000,5,23,"4,60",6,28,"4,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,5
11528,"Rodríguez, Emiliano",DEL,Aldosivi,$ 800.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11529,"Villarreal, Alejandro",DEL,Aldosivi,$ 1.000.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11530,Estadísticas totales de Aldosivi:,,,$ 33.200.000,157,842,"5,36",197,1070,"5,43",9,6,2,0,1,4,1,16,1,7,40,52,2,0,0,12,92
11531,"Rodríguez, Diego",ARQ,Argentinos,$ 4.800.000,9,57,"6,33",12,88,"7,33",0,0,0,0,0,0,0,8,0,1,7,0,0,0,1,12,8
11532,"Romero, Sergio",ARQ,Argentinos,$ 3.500.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,
11533,"Siri Payer, Gonzalo",ARQ,Argentinos,$ 300.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,12,3
11534,"Álvarez, Francisco",DEF,Argentinos,$ 2.100.000,8,38,"4,75",11,54,"4,91",0,0,0,0,0,0,0,,0,0,6,2,2,0,,12,3
11535,"Antoni, Mateo",DEF,Argentinos,$ 2.200.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,12,
11536,"Bravo, Claudio",DEF,Argentinos,$ 1.200.000,3,14,"4,67",3,14,"4,67",0,0,0,0,0,0,0,,0,0,2,0,1,0,,12,
11537,"Coronel, Kevin",DEF,Argentinos,$ 300.000,1,6,"6,00",1,6,"6,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,12,
11538,"Godoy, Erik",DEF,Argentinos,$ 2.600.000,11,71,"6,45",14,85,"6,07",1,0,1,0,0,0,0,,0,0,6,5,0,0,,12,5
11539,"Lozano, Leandro",DEF,Argentinos,$ 1.900.000,11,68,"6,18",14,85,"6,07",0,0,0,0,0,0,0,,0,0,7,1,0,0,,12,4
11540,"Prieto, Sebastián",DEF,Argentinos,$ 1.800.000,11,64,"5,82",14,95,"6,79",1,1,0,0,0,1,0,,0,0,7,3,0,0,,12,5
11541,"Ramírez Cardozo, Tobías",DEF,Argentinos,$ 900.000,3,19,"6,33",3,19,"6,33",0,0,0,0,0,0,0,,0,0,1,0,0,0,,12,
11542,"Riquelme, Román",DEF,Argentinos,$ 900.000,2,17,"8,50",2,17,"8,50",0,0,0,0,0,0,0,,0,0,4,1,0,0,,12,
11543,"Silveira, Santiago",DEF,Argentinos,$ 300.000,,,,,,,,,,,,,,,,,,,,,,12,
11544,"Sánchez, Luciano",DEF,Argentinos,$ 900.000,,,,,,,,,,,,,,,,,,,,,,12,
11545,"Yáñez, Thiago",DEF,Argentinos,$ 300.000,,,,,,,,,,,,,,,,,,,,,,12,
11546,"Bouhier, Gastón",VOL,Argentinos,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11547,"Cardozo, Juan José",VOL,Argentinos,$ 1.300.000,3,15,"5,00",3,15,"5,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,12,
11548,"Carrizo, Facundo",VOL,Argentinos,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11549,"Fattori, Federico",VOL,Argentinos,$ 3.300.000,8,49,"6,13",11,65,"5,91",0,0,0,0,0,0,0,,0,2,,2,1,0,,12,5
11550,"Ferreira, Cristian",VOL,Argentinos,$ 2.500.000,,,,,,,,,,,,,,,,,,,,,,12,
11551,"Florentín, Gabriel",VOL,Argentinos,$ 2.800.000,1,12,"12,00",1,12,"12,00",1,1,0,0,0,0,0,,0,0,,0,0,0,,12,
11552,"Gho, Joaquín",VOL,Argentinos,$ 1.000.000,3,15,"5,00",4,20,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,5
11553,"Gómez, Lucas",VOL,Argentinos,$ 500.000,5,26,"5,20",5,26,"5,20",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,4
11554,"Lescano, Alan",VOL,Argentinos,$ 3.200.000,11,85,"7,73",13,94,"7,23",3,3,0,0,0,0,0,,0,2,,5,0,0,,12,5
11555,"López Muñoz, Hernán",VOL,Argentinos,$ 4.700.000,10,89,"8,90",12,97,"8,08",3,2,1,0,0,2,0,,0,2,,1,0,0,,12,4
11556,"Oroz, Nicolás",VOL,Argentinos,$ 2.500.000,11,66,"6,00",14,81,"5,79",1,1,0,0,0,0,0,,0,0,,0,0,0,,12,4
11557,"Viveros, Emiliano",VOL,Argentinos,$ 500.000,8,42,"5,25",11,56,"5,09",0,0,0,0,0,0,0,,0,0,,1,0,0,,12,
11558,"Bentancourt, Rubén",DEL,Argentinos,$ 1.800.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11559,"Brondo, Manuel",DEL,Argentinos,$ 600.000,,,,,,,,,,,,,,,,,,,,,,12,
11560,"Giaccone, Lautaro",DEL,Argentinos,$ 1.000.000,6,35,"5,83",9,50,"5,56",1,1,0,0,0,0,0,,0,0,,1,0,0,,12,
11561,"Giménez, Matías",DEL,Argentinos,$ 1.600.000,4,29,"7,25",4,29,"7,25",1,1,0,0,0,0,0,,0,0,,0,0,0,,12,
11562,"Molina, Tomás",DEL,Argentinos,$ 3.600.000,11,70,"6,36",14,84,"6,00",2,1,0,0,1,0,0,,0,1,,3,0,0,,12,5
11563,"Ovando, Lautaro",DEL,Argentinos,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11564,"Porcel, Diego",DEL,Argentinos,$ 300.000,6,37,"6,17",6,37,"6,17",1,1,0,0,0,0,0,,0,0,,0,0,0,,12,5
11565,"Romero, Maximiliano",DEL,Argentinos,$ 2.400.000,,,,1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,12,
11566,"Sosa, Ismael",DEL,Argentinos,$ 2.500.000,6,29,"4,83",9,44,"4,89",0,0,0,0,0,0,0,,0,0,,1,0,0,,12,5
