,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
300,"González, Francisco",DEL,Def. y Justicia,$ 1.500.000,,,,2,10,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,4
301,"Gutiérrez, Juan Manuel",DEL,Def. y Justicia,$ 700.000,10,64,"6,40",10,64,"6,40",1,0,1,0,0,0,0,,0,2,,0,0,0,,1,
302,"Hausch, Agustín",DEL,Def. y Justicia,$ 800.000,7,33,"4,71",8,37,"4,63",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,4
303,"La Roza, Uriel",DEL,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
304,"Lobato, Lenny",DEL,Def. y Justicia,$ 1.600.000,7,35,"5,00",9,46,"5,11",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,5
305,"Miritello, Juan Bautista",DEL,Def. y Justicia,$ 2.000.000,9,61,"6,78",11,75,"6,82",4,3,1,0,0,1,0,,0,0,,2,0,0,,1,
306,"Noguera, Facundo",DEL,Def. y Justicia,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
307,"Osorio, Abiel",DEL,Def. y Justicia,$ 1.800.000,11,76,"6,91",14,88,"6,29",4,0,2,0,2,0,2,,0,1,,3,1,1,,1,4
308,"Sosa, Matías",DEL,Def. y Justicia,$ 700.000,,,,,,,,,,,,,,,,,,,,,,1,
309,"Stefanelli, Nicolás",DEL,Def. y Justicia,$ 1.300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
310,Estadísticas totales de Defensa y Justicia:,,,$ 47.700.000,163,916,"5,62",204,1173,"5,75",14,8,4,0,2,3,2,17,2,9,30,24,3,1,0,1,77
311,"Arce, Ignacio",ARQ,Dep. Riestra,$ 2.500.000,12,83,"6,92",15,108,"7,20",0,0,0,0,0,0,0,11,0,2,7,1,0,0,0,1,15
312,"Barceló, Jaime",ARQ,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
313,"Manganelli, Nahuel",ARQ,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,1,
